x,y,ms
194.825230688,162.148353273,41126.3661224
161.903818005,150.82623508,39567.7080624
220.55838088,143.364201831,42547.8617304
192.108271018,148.395191698,39699.8602881
205.155307161,135.881817688,41404.1490023
205.782889754,153.666000751,39092.6416108
179.445196343,157.422053483,41848.5210696
224.524355649,173.28027641,41498.564315
205.304059253,150.958926374,44890.6827077
200.212614683,154.374688915,41220.8803916
165.140058111,150.085992467,41208.9352177
250.581570335,139.35001414,39529.2075211
211.171179083,178.373694642,39313.3778553
142.920547371,162.246629211,40229.7027206
215.942248111,140.431183154,41169.1875223
162.819510051,148.00326485,43398.6089957
237.928878419,143.261226883,42319.1373032
225.250811531,135.068956726,40594.6486064
179.780081365,141.120169874,40072.0014964
248.419462852,165.465887925,41635.89296
195.834949314,142.397448211,40700.8667577
157.241496235,157.947544162,41797.4996773
164.626123336,162.502517096,41883.8709946
221.182227443,152.859730729,42801.056986
226.297491998,161.893080542,39044.4169611
186.351268767,137.956553693,37866.3565794
192.980655922,147.216442809,39718.6805653
208.374364471,143.419521651,39029.8769791
235.904408682,165.958124058,45039.0339962
188.097854375,157.475708127,40099.552342
199.830890697,149.545454025,40854.2368518
195.036272526,137.662824429,41285.7715783
190.725637071,151.654077449,40124.1722479
225.640523573,145.551601804,43857.4620626
243.997766687,161.694865741,38926.928744
241.849495737,150.56617955,40727.2508979
183.233248652,151.964485891,39583.1161503
191.73267832,149.754307821,42348.7272967
250.30598954,159.988258692,41251.682049
191.929450219,166.546834051,41743.5150107
266.802604142,153.164935875,41938.8743027
213.324718455,150.825022103,39474.9906585
227.976248454,163.548314959,40941.1378148
175.320505417,151.955595742,37746.9158071
179.661625532,174.101136648,43808.9709211
181.341344027,164.24304331,43264.5520944
205.335334467,133.638031641,41893.4313601
196.338917529,150.664365005,39411.7968582
207.001706856,121.426108848,39571.4640411
186.086475395,169.20755495,40691.9025388
217.899656775,138.998148504,40649.1191077
208.772291942,148.719681603,39125.5377439
179.065430211,151.623824006,41196.7569214
205.261940293,154.618050733,41440.757272
197.47185186,109.322096424,40462.7551325
186.928324868,174.423332966,41863.8857301
206.918299657,112.184371723,39941.0832311
203.151882981,160.79273067,41431.0782647
221.767287981,159.740933579,37598.4948262
200.898599832,133.497290695,41988.9729112
223.756878151,150.338841308,42930.5707252
204.120521733,148.303197404,43244.1436299
239.658847805,159.493059311,41417.9614809
235.875442698,137.972697015,40201.8345099
187.217128925,136.209988396,41269.1271527
206.191133423,134.082107738,42370.642117
168.297066115,138.726799666,38623.7906328
181.679329224,150.21105698,42289.1886928
225.05709705,135.150476562,42168.5754428
217.651876465,148.849516605,42199.2482509
214.303372204,155.852179421,37082.9698452
216.43431739,167.041126843,38391.3422542
174.150900934,147.284291599,39290.4660811
209.283241485,172.530186541,44328.3392169
258.658733248,147.693734951,43171.7798881
236.887817711,151.112108268,46784.2283484
227.441186856,155.65101903,41952.829002
202.468779787,145.973890536,40175.0333146
175.483173128,145.801743418,40858.0432371
177.78192276,131.801505274,39779.1030902
183.684337811,174.527545527,38402.1771893
221.40577532,130.502761205,40893.7274426
208.752608495,135.440612946,39979.4510912
164.768626258,137.307561867,39884.1495385
226.672419784,154.999062942,41530.6648607
198.048463423,142.442904895,41220.1145906
199.120106618,155.97636211,40181.5838142
185.15640544,137.939999944,38624.5613961
194.420001046,161.134719548,41276.7061809
185.803285907,181.309130325,41021.4120259
165.0703377,166.698514143,38109.3285669
157.927438714,163.091359266,40260.9450271
244.931514466,169.604506359,40324.6629077
243.301354598,147.011678725,38090.4142042
216.511059613,149.596504483,40679.5834619
246.224387921,155.622785966,45313.8054005
166.840833233,146.289915409,40885.2269662
205.878021573,152.271670431,42134.0977657
180.746001876,151.861480649,46173.7152517
166.072084105,102.789761337,37520.3828323
173.22693887,132.729367335,40090.0316244
178.521412109,146.868485637,36904.4544935
236.614126242,144.351777113,42869.3946266
272.967339652,145.150503626,40034.532244
173.846075803,156.474484305,41956.5370301
197.779652203,138.67065718,41590.6901769
190.956462503,119.657408574,40972.8442505
135.942273543,119.833764977,38004.9976431
212.748848929,150.083918685,41275.0942677
279.787164122,156.118850766,41396.9457138
209.352261205,170.033687578,40062.1051052
179.284243437,143.610661725,38534.4461701
190.294051686,159.72376898,40767.6550562
178.454135105,148.457807831,37787.0023167
205.663781463,172.628590551,41570.5863091
223.048126961,169.805116564,41073.6695028
214.710007563,171.381231439,40150.7122953
197.771993342,154.739954615,40853.9914839
190.547321795,158.798793891,36329.3375435
209.034470637,168.423819277,37931.1973096
159.964626736,138.880888832,40437.9358151
207.440072649,176.223994326,39825.1198048
211.975939731,156.854619311,40421.0227165
207.494445302,148.942922085,40433.5261388
179.273774084,138.342874502,41465.4139895
200.116636479,181.911667223,38576.3012269
188.570545611,163.748221923,44926.7228139
190.949826007,133.657076877,40027.4141191
162.269351824,136.676118584,42097.0099835
206.984379408,157.040853446,38825.0134154
205.036046668,149.615324814,40001.7103648
193.877750194,127.881565492,43431.5659036
225.434240435,135.749611394,41897.8106644
243.258040807,170.547093956,40000.8337638
217.84690522,163.385328182,37594.9773962
255.463877224,150.436205113,41257.829288
211.694774088,146.195826806,38432.4320447
153.144674503,181.420301356,43556.9104081
178.487108993,159.632650446,39164.0321358
228.379621422,143.961081183,40148.3010497
234.960300375,145.187093977,44160.9621846
156.228645814,149.572241784,40399.8134674
147.553206805,146.996174338,42492.0713228
199.880502805,143.795303231,35801.9870077
255.762685086,174.228967544,41289.1539303
189.899583948,137.10238148,41139.3668467
228.597529634,164.664959825,39718.0675018
217.959133439,150.351432291,42725.5404054
204.601330722,136.235453319,40700.7747763
203.6259869,118.605220435,43126.3514937
203.477452373,146.494764075,44700.4602301
184.819611076,132.438291073,40842.0610649
180.647611984,169.047942708,38931.068483
201.163460219,146.696185689,42863.7931901
188.270449533,148.697722185,40196.5777738
176.211917531,177.127948818,42430.0161044
235.968062817,160.109053003,43573.5091225
174.07118344,157.628808411,39336.6039368
243.377035141,151.028821721,38567.9468041
215.565165526,140.243619909,42470.8374186
238.727702645,152.371733425,39291.5564261
207.121764342,151.098694935,41898.7327026
140.241944825,148.397908533,39482.0102397
175.876346964,144.122251675,45436.1884427
233.209844387,155.031056025,37552.4585891
250.476381506,163.220806431,39844.6086815
247.783320073,141.396705494,43480.2979154
154.350789895,142.048522385,35359.3493637
217.290054146,155.221266583,37867.2538725
178.091389946,156.375571102,39757.4021461
207.667654713,148.990132134,40453.2642555
168.974215243,135.595692023,41225.4763937
190.643369029,133.648463572,37020.1288259
229.675258431,149.858171169,39849.0424281
166.625454616,149.065128605,40076.6652758
188.106878238,184.016640688,39927.7295699
240.393261567,173.842231924,44046.99362
210.389301517,133.514060489,39275.1220334
230.313378985,170.008669695,39186.3633059
178.90535398,159.279022935,40418.5066681
175.705436469,140.793413386,41247.7691353
205.710017077,129.17321934,39141.8457156
147.523824791,148.763795648,42609.4510368
219.342242254,137.383133124,41067.5983852
202.842094629,143.473094747,39986.9169029
174.3616328,152.981013495,44946.7028434
180.898776172,149.64278781,41222.8213223
173.073124754,162.368754048,41198.127398
205.7834332,165.102344872,39332.0294815
188.234569476,119.677454778,43059.4492434
184.917477323,162.048421857,42413.0345999
217.667516882,158.825306864,44432.2697365
273.594067099,174.225355666,39475.8489776
201.256407034,156.523937667,41219.0691693
229.917923453,136.140222126,38002.5619839
215.482505592,150.0831503,41377.4623328
191.972569757,144.315293692,44480.8666377
185.376972683,148.681240481,41741.3984481
170.616916318,165.587853892,43908.2519391
193.789792548,139.114744628,39916.6401744
168.325245879,136.586834724,42309.0553931
162.970321486,170.103644392,38986.9072944
202.294312148,161.778372387,40693.4232074
223.125483806,165.436915527,42672.2544331
209.091572733,157.415844846,42880.1829754
227.988105099,164.413713025,38566.58968
227.590026482,134.109820591,39617.2735185
175.177847363,133.686817452,41985.6516443
230.486241775,121.171007915,41535.9778555
191.547820208,124.567178199,36870.0807988
205.237645444,154.355335555,42422.0413005
201.945804393,176.4839599,42136.6812277
222.358729395,150.301483083,40282.8928976
217.188862349,147.02455833,41592.7878861
158.4252429,117.354542086,42579.9584088
190.540388981,128.097645255,42275.6613667
227.204651928,158.354035493,37203.056233
235.835554248,142.445043607,42673.9516564
186.498915631,164.602640527,41938.6134161
253.516389153,156.61858735,37605.5432216
244.448220348,161.343209408,43678.1174304
188.30572669,172.254098245,39756.9461725
162.452353184,147.385760865,38333.5501637
198.570606838,155.929880084,43135.0958928
228.7213912,135.32684238,43041.9353114
186.143185266,151.86474058,44765.4027409
205.029672931,116.83307568,40864.4601397
216.76510205,176.278634218,38938.1166576
193.561502951,187.843375356,41773.6868192
204.628410176,156.350384696,42485.3878114
181.646982278,148.103056793,40191.3180411
166.721151648,174.552153214,38092.9180604
232.405646946,126.709573244,42449.9992214
191.93537409,164.814589568,43439.0068129
283.828497136,131.465007638,39545.1050567
198.975812433,148.463715903,39592.9316044
202.224448186,163.598330623,41933.9269413
245.795908298,151.577134306,40682.5448953
194.01946388,162.117956074,39142.4347803
179.842480616,138.299254377,38924.7521437
137.517548151,127.97979214,40506.6669401
165.640962951,124.73347741,42313.9866198
160.286365655,134.515777289,38953.8960876
171.036481582,137.331480681,37770.0508977
198.54366437,159.671062486,39478.88302
233.519107344,146.177262717,42973.8342137
146.053298748,135.502936784,42120.0136848
238.707438092,148.39227613,37114.2027316
203.851080695,154.67005575,42763.8740948
212.815931972,158.713955365,38270.0829919
160.99006784,156.60451171,41454.6244653
210.60744326,138.431755149,40777.1238613
202.180994623,123.209978759,41270.1728975
202.556025884,149.313488124,41605.139135
201.182757198,142.654627764,41429.6061104
202.366183121,152.68366822,40319.4782682
203.947806907,147.019457879,41156.3682307
170.55110036,129.144443811,39105.7928573
159.615904442,172.587107596,41528.058614
257.833505994,144.875067353,39311.3678292
202.640386295,161.258626982,39140.4591013
222.837584214,171.138752451,42555.2278651
197.191608347,129.766107076,41401.1720461
272.09765296,156.02095871,43248.2712786
200.477356881,128.550270638,40120.6635118
155.693945163,136.474575413,39111.5290804
219.435770552,151.760811471,40406.5448241
218.213000969,123.201740003,41180.9584294
202.80220569,162.870990636,43114.4693964
197.460770464,133.881099927,37724.2609253
221.910542692,141.279957354,42936.7163403
185.28350436,159.13752995,41182.2433938
228.24221506,161.783771922,35962.6912981
215.046928809,134.540564676,38897.7994495
188.755143284,128.528324459,37058.7659957
242.161489977,125.184170746,43079.8891862
194.603538828,143.966163615,38006.7162611
188.718142572,148.51061567,41812.9402662
184.713464443,161.523942218,39564.8751348
152.080447641,123.46453673,42057.7237858
202.926431796,153.110689073,38329.021816
184.545240356,151.533015842,43960.5093193
195.335653458,164.217661471,44721.1505383
151.051494587,165.07252441,42778.0779037
191.954750549,183.616266788,40759.6012931
207.718957483,163.728804586,40928.6562608
218.040009682,136.965829913,37893.04772
165.204149266,147.51905634,42864.9825595
171.901906316,143.580282661,38258.4293111
239.36519902,142.564299243,41019.766557
218.236510856,153.962119578,38824.0734008
226.703323202,127.932559892,40455.7486697
178.35485499,119.743165391,40525.3306752
149.568617834,140.632411499,40792.4288825
172.175437047,151.6886107,36622.174459
181.32331654,131.86990638,43210.1216322
180.668509289,157.110980384,43211.2882892
182.583603306,167.126548564,39627.6969901
179.285358839,161.358759387,42844.8305907
186.85008719,136.489495313,40749.3198072
230.506890634,175.000468355,41018.9692009
209.064705623,122.984707044,44634.1008777
183.32968165,123.513381615,39903.8675959
235.193404794,135.375385512,43810.4886623
206.585313266,169.003848387,41251.6389205
171.348864007,155.374883571,38858.3290126
203.902562825,189.426591783,40602.8287611
208.005492872,157.337019009,44144.4676748
213.149962118,123.824848647,41966.960727
155.670474091,127.37637948,40078.067965
233.780231828,142.652647904,42426.1125327
198.190872828,142.070533082,41320.8249717
218.048237069,166.203697329,43811.2924398
203.435213045,156.034312301,38592.1747972
185.842411261,118.405905677,39993.4171485
216.740284177,141.448468032,41804.2086096
202.621323813,148.573570186,39310.8364212
181.91832173,153.811825229,40240.5612235
250.589052896,155.473277579,41378.5619449
191.114694245,138.439673636,44141.198009
214.025713594,152.809171031,41798.8168539
191.180746992,150.36621933,43616.8354764
159.619956752,141.239414268,41212.3820755
162.362183392,157.061966364,39605.4575153
185.301185057,148.51818894,41490.3541342
183.787855244,159.371329674,43185.2364257
213.735960599,146.184021455,45127.7306804
183.973194158,144.88252933,39161.2504224
248.04223786,143.732415269,36413.0489835
200.085527103,148.426912878,40837.8446114
182.294440642,129.839751934,41740.6618228
215.780220988,141.605930318,45400.601939
215.866685262,154.282876226,38725.1204307
198.168497995,159.550590403,41892.1575497
222.236393716,138.962837279,41973.0067818
242.975835766,152.806499094,39835.5093324
212.608988992,130.492077786,38492.1074318
206.283024919,168.519601204,41003.9887015
176.730043136,163.21604226,40632.0433017
221.396040743,150.314348498,39945.1771837
188.145072395,142.675670038,42368.1030466
185.954277255,156.360799539,40386.7052654
177.695753445,154.85030448,38898.633525
226.40677003,144.14432775,41155.1939566
247.595775122,149.116861187,37781.9873104
202.568242757,153.365794873,40441.7664004
218.573254018,145.537110126,39099.6299603
178.696801544,133.355511033,38418.6154278
228.525621365,153.113902599,43056.3248231
196.739788373,153.889364467,40114.5681798
171.347454016,148.116969119,38289.5362708
185.583677213,142.779557687,44399.5812972
182.523637039,147.274527875,38348.4660556
178.18314814,129.340053956,44000.1938927
224.176429739,152.345381022,37475.9660669
195.171341996,151.057656382,43860.2285468
181.119921587,177.179817566,40834.7729347
194.115642489,153.201811384,38052.1535144
189.393166368,156.03123595,42904.1063989
179.385517256,167.001654027,41575.7624031
160.500252027,140.751244059,41761.1946019
228.959534787,141.121445576,39768.2981608
218.835428415,146.741837407,41767.7839879
207.863717982,147.399146093,44001.5538604
197.495916804,157.150323246,38530.398758
227.14832579,148.056271926,39424.2866155
225.876822852,140.863218278,44898.8737713
195.689167843,113.102199155,40687.3550977
224.204679846,168.263470147,40186.3904052
217.450192866,124.027738701,40300.8867061
247.867303616,163.993873814,39794.8884419
197.057843258,125.121210783,39894.2572579
187.615990815,158.645994212,38164.8086622
201.534969048,147.153501479,42437.3755639
195.098551798,149.451754999,40960.6091892
197.42155788,144.073903854,39687.0361918
231.254890057,180.440857954,41555.1449267
201.573002639,152.270912817,41519.2859276
236.658122381,159.44527062,41922.3119008
190.268994711,137.70887006,39655.9113371
203.410607547,160.388389775,39122.3505864
244.240679639,144.821304865,43197.6058627
148.170337229,179.356425527,39944.7134732
222.868283489,166.599228863,41306.3115164
165.245796228,146.942049039,37877.8876292
155.165895112,151.295191585,41979.4025819
185.973293125,164.18323489,44221.1589125
181.01946829,135.904217891,42992.5303674
214.128659962,157.107511925,39339.4512301
208.781361949,134.983371662,40954.4594113
193.792241655,150.949687366,42561.9780102
215.572838448,146.183359275,38863.4784098
179.493390295,142.34795999,44131.8535939
261.441398781,163.070608552,40173.2665596
201.178001755,147.090240177,42734.5937253
190.971117367,152.55414228,41236.4089468
213.899889954,148.03259966,42212.2119722
227.664688586,158.557483261,38725.129826
198.493150446,142.129094558,41648.3698598
147.304808163,133.287200296,40604.6544959
234.566893683,146.910164242,38901.2425952
153.549513919,143.561201489,40741.7654874
212.824022167,172.944090906,43177.202481
177.797894384,119.873738447,44086.0000955
232.536420904,145.42633891,43490.0337133
225.627492387,163.793941812,42170.4628861
191.34666914,156.651629748,43828.6129295
175.305537361,197.438771199,43575.1837225
264.591250566,145.403726548,37763.803168
193.102591114,165.169901104,44949.0866527
191.538354219,154.057408373,39048.8552824
166.382770395,168.934644291,42967.0706356
188.130640355,155.779063383,37955.3410305
201.118875253,148.136278112,45475.1295325
248.175495231,161.491834833,37229.4703376
222.385097588,126.070317372,42060.8205786
215.606297407,158.833125546,37634.1117662
173.420832913,152.76691452,41036.2437986
178.751570625,153.960991809,39597.3168265
182.098124041,147.728407534,44286.8976829
186.444406373,157.51630033,40821.5594392
191.085140724,155.527542726,43943.4104608
244.901160017,135.479934683,41498.8236107
220.3693856,149.002742696,40393.7189083
158.504896797,136.890038053,43680.232776
207.625192952,164.432870654,41224.76325
189.321837289,141.450198067,43298.0127827
184.427617448,156.176523564,39544.2923696
168.0227556,153.258634058,41265.4536027
209.609945171,134.770280423,45274.4094566
192.397989501,147.108358872,40454.8540317
206.246718785,164.993515704,40683.5127943
247.382646069,130.42920193,41847.0532746
203.475377155,140.121002567,40908.6894989
223.389394624,176.14101225,39359.0053762
205.75249114,144.224581207,39867.3301671
188.860943091,125.40895592,37145.8960127
184.320803942,143.418060893,42025.1066094
165.015338649,142.592577994,41486.2677497
182.889641173,171.291945146,41015.2117817
170.8658132,160.037407004,39752.1010432
210.475329301,154.584705611,40950.8970516
200.044829583,148.035305216,40889.6798801
202.8691225,154.756772931,40848.164025
176.619263172,158.206768748,39055.0785515
155.063978316,138.298888164,42482.326587
163.348529606,150.553396151,43507.6847826
216.119157095,166.072810923,39824.6075798
200.500793785,130.054396918,39063.3069726
208.038731022,155.026989402,39274.0508865
210.413601335,146.898894024,42668.3546987
188.421020374,150.330047691,41790.2515236
198.966808711,146.362825852,41126.4383936
188.364732079,134.334607601,42337.9721211
240.655036537,160.261066645,42844.5549397
187.004951817,156.504626014,39365.2264053
204.117056469,163.754799892,41645.5046518
197.572973279,137.168979418,39378.3738649
252.966519247,143.805668531,36932.3271876
170.080167865,175.518482447,38170.3372041
214.23366291,134.469448305,40450.8051602
199.144631156,165.049851036,42364.5147112
218.524157091,118.626509889,40193.0856182
234.230974828,147.878921224,42632.480081
188.660615092,150.284385274,40789.1934471
215.768942542,140.462940732,40472.7364293
193.141392806,141.347717448,42654.1879564
188.888925655,168.222317229,38806.2233706
187.985997913,144.693754413,37423.9975585
167.285684427,140.359560655,43599.3892718
214.084540248,146.078769529,43314.689388
233.528983492,154.113885401,39283.1325927
219.267578147,150.68621136,41647.7220065
189.996184615,117.244734169,39996.7022318
208.136385972,162.278880045,39256.6143241
208.892098891,164.450141066,39156.8361913
174.647991816,169.220881618,39142.8092658
192.549726443,139.574412102,46032.143505
182.031585963,151.168961599,42675.0973329
207.260355824,122.002640486,39246.609264
182.255038357,156.320391678,38341.658565
177.058201069,141.674130931,39964.8060759
257.387035395,130.045706822,40654.2675635
194.784536227,157.261826342,39519.5219891
216.927987708,140.900745384,39573.3001959
121.049303752,134.718031997,43825.0851221
219.983520023,142.756552526,42551.8557316
224.477734526,156.056124122,42571.9349854
209.28395093,168.068987092,41311.6048341
186.093943259,153.602229248,41261.8198153
232.129599627,162.473007345,42433.6874348
214.376040637,142.067092794,39087.2324388
208.539551782,122.755045565,39593.2114716
156.804264447,140.309021872,37183.1783228
189.291099932,156.284598632,42730.5582861
235.987727022,137.228942203,38003.8861748
173.999126283,137.540860089,36132.9108921
174.902170527,177.504825006,41590.3923626
218.404340921,148.76726024,43977.4659026
153.443724779,142.636514298,42428.3445163
208.661881561,138.088137988,37242.9960562
209.174936283,156.958521267,42975.8770012
181.673289381,166.815189393,38944.4461668
189.552113404,143.450145292,40034.3307877
234.400752663,158.559608038,44319.7731723
225.065350158,136.054436309,37775.3441139
214.229072296,164.646983452,39940.5763387
202.42166911,142.398162114,39130.7145192
184.728317167,162.060243678,39829.2848953
222.071616019,153.557077645,35538.2427213
180.45366201,147.48072225,39595.5667581
217.10553779,148.465789937,41441.6879344
196.215265323,165.450424201,41263.9802945
197.725572538,154.030013152,40214.5943304
226.294789084,143.365332563,39092.8196386
186.896193796,150.427468755,39129.6482703
181.233538706,140.073226152,38349.3057052
218.698107849,118.088317885,41913.6585281
183.552889698,154.22983988,40725.2574046
193.777650255,149.354027914,40225.154593
227.912655787,137.853486474,38466.8611023
197.876652585,143.389189917,38582.2282381
183.227256698,138.559889385,42092.2213206
177.91826964,161.911507234,39700.2531127
173.749474028,160.153105814,39409.7053156
214.488763374,146.698500556,41507.1254143
189.601900125,154.406369591,41555.6906495
242.566543245,165.402222622,39844.7439125
206.117793591,142.516658338,40644.4157096
190.969424573,162.605838303,40961.2907753
202.791930393,145.193022516,43123.629595
222.262052643,164.933510881,41302.7990561
230.498860857,161.093175011,42862.9347815
201.504361623,146.818988304,43517.5682502
179.465658137,161.800855746,41102.9205189
197.173676352,145.706017509,39275.5540029
227.453952026,148.871531217,43354.0172982
189.589270524,175.950519549,40678.5705371
195.040895686,156.404207113,39387.0645343
